productName,currentprice,mrp,imageurl
Velmita,₹355,₹1599,https://rukminim1.flixcart.com/image/612/612/xif0q/top/m/r/v/l-t-003-velmita-original-imag4csrqtrnvhbw-bb.jpeg?q=70
Selvia,₹359,₹1663,https://rukminim1.flixcart.com/image/612/612/kj7gwi80-0/top/b/l/g/l-117tkr2636-selvia-original-imafytvnzca5cyrd.jpeg?q=70
Tokyo Talkies,₹379,₹949,https://rukminim1.flixcart.com/image/612/612/kzfvzww0/top/u/a/o/xl-tttp006088-tokyo-talkies-original-imagbg4v5ewharck.jpeg?q=70
Selvia,₹449,₹2230,https://rukminim1.flixcart.com/image/612/612/xif0q/top/q/e/h/s-365tk7085-selvia-original-imagg69myszcdv6b.jpeg?q=70
JUNEBERRY,₹299,₹1199,https://rukminim1.flixcart.com/image/612/612/kfwvcsw0/top/j/f/s/3xl-jb-117-blkylwwht-juneberry-original-imafw9h2mrgj4qry.jpeg?q=70
FEBIA,₹299,₹899,https://rukminim1.flixcart.com/image/612/612/klphn680/top/g/k/u/l-bj-top336-febia-original-imagys34x4yashbe.jpeg?q=70
Aashvi garments,₹249,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/l/y/j/xl-woman-top-nvh-original-imagj2nzzkbngvzh.jpeg?q=70
JUNEBERRY,₹299,₹1199,https://rukminim1.flixcart.com/image/612/612/krtjgcw0/top/o/c/0/s-tsh-cartoon-wht-juneberry-original-imag5gqyp4xbsty4.jpeg?q=70
FEBIA,₹311,₹699,https://rukminim1.flixcart.com/image/612/612/k6qsn0w0/top/g/z/p/m-hw-top337-hanumntra-original-imafp5yatg9qppjc.jpeg?q=70
HARPA,₹408,₹1299,https://rukminim1.flixcart.com/image/612/612/l0tweq80/top/8/w/t/s-gr6290-pink-harpa-original-imagcgxuh8nheyhn.jpeg?q=70
BRAVISHESH,₹359,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/f/x/f/l-hdy24-bravishesh-original-imaggmwkgq2gajak.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/8/x/u/xxl-00133-top-dl-fashion-original-imag3m4vybw6gzzr-bb.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/l51d30w0/top/t/x/j/xxl-prw-1018-prettify-original-imagfsyfg9yceg66.jpeg?q=70
HARPA,₹401,₹1399,https://rukminim1.flixcart.com/image/612/612/l01blow0/top/f/u/n/xl-gr6245-pink-harpa-original-imagbwnhhefucc6j.jpeg?q=70
BRAVISHESH,₹359,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/y/9/s-hdy27-bravishesh-original-imaggmwkhkedzwmn.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/xif0q/top/0/2/b/m-prw-1005-prettify-original-imagf2vh7szxtgnw-bb.jpeg?q=70
SASSAFRAS,₹499,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/t/d/h/s-sftops4885-sassafras-original-imafvbg5cfwfgvqz-bb.jpeg?q=70
FEBIA,₹332,₹899,https://rukminim1.flixcart.com/image/612/612/kmp7ngw0/top/t/e/u/m-bj-top316-febia-original-imagfjnc5ahspyt5.jpeg?q=70
Tokyo Talkies,₹369,₹1049,https://rukminim1.flixcart.com/image/612/612/jmgmmq80/top/s/d/h/xl-tttp002545-tokyo-talkies-original-imaf9d5c5exdvsev.jpeg?q=70
HARPA,₹401,₹1399,https://rukminim1.flixcart.com/image/612/612/l01blow0/top/9/k/d/s-gr6320-wine-harpa-original-imagbwnh2pythntt.jpeg?q=70
Moshe,₹343,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/u/u/o/l-top-104-pater-original-imaggtwubgpx8fhf.jpeg?q=70
Aahwan,₹379,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/1/l/z/xs-182-black-aahwan-original-imagegczxchttghe-bb.jpeg?q=70
BRAVISHESH,₹449,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/p/3/e/l-bts-girl-bravishesh-original-imaghgft5gtgwt6g.jpeg?q=70
Silkova,₹286,₹1799,https://rukminim1.flixcart.com/image/612/612/km6mxe80/top/n/y/d/xs-st01-silkova-original-imagf5fmh6gdecba.jpeg?q=70
Aahwan,₹379,₹1999,https://rukminim1.flixcart.com/image/612/612/ks7tuvk0/top/t/g/l/xs-157-black-aahwan-original-imag5trwttumkgrh.jpeg?q=70
Prettify,₹349,₹1997,https://rukminim1.flixcart.com/image/612/612/xif0q/top/r/g/z/s-pr-prw-357-14-fab-original-imagghyeakzdnuy8.jpeg?q=70
FEBIA,₹271,₹899,https://rukminim1.flixcart.com/image/612/612/kdxfc7k0/top/x/h/z/s-bj-top340-hanumntra-original-imafuqcp5fwmyqua.jpeg?q=70
Harpa Basics,₹406,₹1199,https://rukminim1.flixcart.com/image/612/612/kj4m0sw0-0/top/i/d/b/l-gr6143-pink-harpa-basics-original-imafyrenyzyggt8t.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/km3s1ow0/top/3/e/z/l-prw-1006-prettify-original-imagf2vurykmmbgv.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/ks0onm80/kurta/o/m/t/4xl-dmpa319-dmp-fashion-original-imag5zfb8scbxhgj.jpeg?q=70
FEBIA,₹308,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/h/k/xl-bj-top0319-febia-original-imafwrhygdrmwugy-bb.jpeg?q=70
